epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,14178.6,1.14976,2.11655,1.07808,0.00873,0.74491,0.66944,0.63369,0.67064,0.46871,0.60374,0.57273,0.55515,0.31081,1.21839,2.34926,1.27625,0.01343,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,14351,1.11329,2.08556,1.05914,0.00841,0.73104,0.70338,0.61384,0.67191,0.47006,0.66479,0.53395,0.55393,0.30383,1.1902,2.32617,1.3062,0.01309,0,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,14524.6,1.12659,2.07984,1.04811,0.00838,0.72608,0.70818,0.60559,0.67299,0.47271,0.6181,0.55528,0.54756,0.30967,1.20412,2.33839,1.30155,0.01322,0,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,14698.2,1.12818,2.06305,1.05768,0.00845,0.71495,0.67577,0.65095,0.68107,0.47598,0.59974,0.57885,0.54995,0.31312,1.19943,2.33589,1.2914,0.01328,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,14871.1,1.10611,2.06733,1.04471,0.00845,0.72762,0.68347,0.63009,0.66947,0.47333,0.62422,0.54881,0.54789,0.31483,1.17958,2.31757,1.29437,0.01276,0,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,15044.2,1.1131,2.08424,1.04711,0.00853,0.73216,0.66919,0.63709,0.67101,0.47647,0.65432,0.54462,0.5521,0.31093,1.18706,2.28578,1.26538,0.01281,0,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,15217,1.11179,2.04749,1.03404,0.00828,0.71969,0.69075,0.62751,0.67973,0.47908,0.63815,0.57471,0.56824,0.32019,1.20025,2.23069,1.28884,0.01334,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,15390.2,1.12327,2.07029,1.04105,0.00829,0.73124,0.69578,0.63116,0.67456,0.47961,0.62072,0.57037,0.56182,0.32144,1.18365,2.27251,1.30293,0.01274,0,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,15562.7,1.11307,2.03509,1.03446,0.00826,0.71405,0.6863,0.64069,0.68276,0.48234,0.66093,0.54565,0.56128,0.31373,1.18112,2.28833,1.26818,0.01304,0,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,15736.4,1.1198,2.0545,1.03538,0.00821,0.72295,0.70039,0.622,0.6783,0.47524,0.67064,0.52911,0.55679,0.31438,1.19309,2.24011,1.29755,0.013,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,15909,1.10333,2.05188,1.03765,0.00841,0.71214,0.69073,0.63114,0.68036,0.47563,0.6568,0.5738,0.57401,0.33005,1.19213,2.27461,1.30178,0.01285,0,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
