epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,5017.61,1.25048,2.30333,1.21746,0.0086,0.96837,0.74469,0.6167,0.67773,0.45444,0.68322,0.55216,0.56666,0.32004,1.25692,2.3679,1.33492,0.01365,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,5108.31,1.24747,2.2762,1.19606,0.00835,0.91836,0.72292,0.61633,0.68598,0.46111,0.63866,0.57946,0.57782,0.3266,1.22543,2.37512,1.33656,0.01324,0,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,5199,1.23745,2.27658,1.18243,0.00837,0.92844,0.6615,0.64147,0.66453,0.45345,0.59606,0.56596,0.54102,0.3177,1.23864,2.41694,1.36472,0.01339,0,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,5289.52,1.2437,2.25753,1.17921,0.00833,0.93137,0.69283,0.61414,0.66705,0.45662,0.63819,0.55344,0.57053,0.33494,1.24965,2.32836,1.35823,0.01345,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,5380.03,1.23115,2.26754,1.17949,0.0084,0.91474,0.68254,0.63765,0.66801,0.45306,0.61789,0.57317,0.56808,0.32245,1.2486,2.37083,1.36062,0.01333,0,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,5471.02,1.24931,2.27521,1.18838,0.00843,0.91255,0.67878,0.6467,0.68147,0.47478,0.61665,0.58502,0.57124,0.33655,1.22149,2.39016,1.33907,0.01313,0,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,5561.9,1.23167,2.26553,1.17821,0.00829,0.901,0.69518,0.63156,0.67339,0.46016,0.65315,0.56393,0.56199,0.32638,1.26185,2.43097,1.30993,0.0135,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,5652.97,1.23857,2.26184,1.17418,0.0084,0.93801,0.69963,0.61723,0.66908,0.45592,0.6443,0.55207,0.56236,0.32947,1.24536,2.31582,1.34321,0.01342,0,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,5743.78,1.23839,2.24655,1.16897,0.00837,0.90971,0.70522,0.62526,0.67543,0.46731,0.63687,0.56552,0.56589,0.32353,1.2344,2.37219,1.31874,0.0132,0,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,5834.1,1.24234,2.26032,1.17977,0.00834,0.90808,0.67783,0.63838,0.66831,0.46057,0.64055,0.56602,0.56329,0.32706,1.22093,2.33192,1.32396,0.01302,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
