epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
104,3127.06,1.18096,1.89724,1.0645,0.00758,0.73557,0.68761,0.58585,0.62514,0.41424,0.63843,0.532,0.52972,0.2808,1.34163,2.35911,1.48093,0.01435,0,0.00124204,0.00124204,0.00124204
105,3158.31,1.13509,1.91593,1.04102,0.00723,0.72557,0.64824,0.63804,0.64503,0.4192,0.58347,0.57868,0.5248,0.2811,1.35585,2.45411,1.45113,0.01493,0,0.00123791,0.00123791,0.00123791
106,3189.7,1.16679,1.9306,1.06451,0.00759,0.73306,0.66762,0.58777,0.62648,0.42048,0.61431,0.54297,0.52745,0.28812,1.34981,2.47845,1.46789,0.01423,0,0.00123379,0.00123379,0.00123379
107,3220,1.15291,1.92037,1.05089,0.00737,0.71222,0.67344,0.59134,0.62432,0.41393,0.61117,0.54032,0.5105,0.28185,1.34383,2.47567,1.44484,0.01455,0,0.00122966,0.00122966,0.00122966
108,3250.35,1.16282,1.92019,1.04652,0.0073,0.71078,0.68123,0.58945,0.61456,0.37517,0.62481,0.52486,0.50188,0.266,1.45699,2.561,1.5429,0.01594,0,0.00122554,0.00122554,0.00122554
109,3282.8,1.20854,1.9262,1.05889,0.00756,0.75144,0.65557,0.5703,0.60337,0.39866,0.60508,0.52965,0.51487,0.28398,1.35251,2.40453,1.47735,0.01511,0,0.00122141,0.00122141,0.00122141
110,3312.98,1.1478,1.92019,1.04708,0.00734,0.73026,0.67384,0.60357,0.62584,0.42352,0.61843,0.55474,0.53252,0.30346,1.34103,2.47149,1.4177,0.01433,0,0.00121729,0.00121729,0.00121729
111,3342.61,1.16231,1.8944,1.05463,0.00725,0.71595,0.65978,0.564,0.59196,0.38959,0.61568,0.53013,0.50893,0.27297,1.33793,2.48446,1.6618,0.01461,0,0.00121316,0.00121316,0.00121316
112,3372.04,1.12581,1.8687,1.05086,0.00721,0.70121,0.63987,0.60736,0.62098,0.40891,0.59446,0.55056,0.5207,0.2915,1.36364,2.49487,1.46938,0.0145,0,0.00120903,0.00120903,0.00120903
113,3402.27,1.15472,1.95668,1.02964,0.00746,0.71261,0.64665,0.61253,0.60976,0.3878,0.57744,0.54733,0.50733,0.26161,1.35393,2.5803,1.49117,0.01517,0,0.00120491,0.00120491,0.00120491
114,3432.64,1.15732,1.90803,1.06397,0.00749,0.71134,0.63358,0.59464,0.61735,0.41131,0.56918,0.55428,0.50935,0.2829,1.34721,2.48974,1.41855,0.01428,0,0.00120078,0.00120078,0.00120078
115,3463.43,1.16689,1.92852,1.04953,0.00726,0.68168,0.65757,0.6012,0.61415,0.40162,0.58986,0.53203,0.5068,0.27412,1.34575,2.47445,1.40054,0.01411,0,0.00119666,0.00119666,0.00119666
116,3492.82,1.16389,1.90998,1.06152,0.00772,0.74646,0.63677,0.60754,0.60678,0.39954,0.60049,0.54017,0.50192,0.27099,1.35088,2.47767,1.42191,0.01511,0,0.00119253,0.00119253,0.00119253
117,3522.88,1.13903,1.92638,1.01599,0.00744,0.67954,0.6807,0.59,0.60785,0.39272,0.62364,0.52596,0.48532,0.2615,1.37626,2.55774,1.56776,0.01484,0,0.0011884,0.0011884,0.0011884
118,3553.5,1.18008,1.96944,1.05098,0.00741,0.73836,0.65722,0.62339,0.62973,0.41449,0.60797,0.55828,0.5152,0.2967,1.35516,2.57053,1.45217,0.01481,0,0.00118428,0.00118428,0.00118428
